State,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
State,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
AK,"3,096","6,685,642",10.9%,12.7%,47.6%,0.0%,0.0%,26.5%,0.6%,1.6%,0.0%,0.0%,0.0%
AL,"32,924","138,596,349",13.7%,0.0%,44.2%,0.0%,32.9%,6.1%,2.3%,0.0%,0.9%,0.0%,0.0%
AR,"17,060","63,196,142",26.7%,0.1%,41.9%,0.0%,23.7%,5.3%,1.1%,0.0%,1.3%,0.0%,0.0%
AZ,"33,108","102,908,710",11.7%,0.0%,42.6%,0.0%,30.6%,5.9%,0.2%,1.7%,7.2%,0.0%,0.0%
CA,"96,731","211,937,397",0.1%,0.0%,41.8%,0.7%,8.4%,15.4%,2.4%,6.6%,19.2%,5.3%,0.1%
CO,"21,370","57,508,976",32.6%,0.1%,29.9%,0.0%,0.0%,2.8%,0.2%,28.0%,6.3%,0.0%,0.1%
CT,"10,965","40,648,906",0.0%,0.3%,61.4%,1.1%,33.6%,1.2%,1.5%,0.0%,1.0%,0.0%,0.0%
DC,57,"171,869",0.0%,0.0%,51.9%,0.0%,0.0%,0.0%,33.8%,0.0%,14.3%,0.0%,0.0%
DE,"3,441","4,791,614",0.0%,0.2%,91.5%,3.6%,0.0%,0.0%,1.4%,0.1%,3.2%,0.0%,0.0%
FL,"76,101","252,068,460",4.5%,0.5%,75.3%,0.6%,11.9%,0.1%,1.2%,0.0%,5.6%,0.0%,0.4%
GA,"40,610","129,657,704",12.9%,0.2%,46.3%,0.1%,28.8%,2.0%,3.8%,0.0%,5.8%,0.0%,0.0%
HI,"3,451","9,162,356",0.0%,78.1%,0.0%,1.9%,0.0%,1.0%,3.1%,6.5%,7.1%,2.1%,0.0%
IA,"24,261","69,832,500",23.5%,0.1%,14.7%,0.0%,0.0%,1.4%,0.3%,59.3%,0.7%,0.0%,0.0%
ID,"5,509","17,842,932",0.0%,0.0%,31.9%,0.0%,0.0%,47.0%,2.5%,13.0%,4.8%,0.5%,0.4%
IL,"51,851","177,729,662",15.3%,0.0%,16.0%,0.1%,54.9%,0.1%,0.1%,12.3%,1.1%,0.0%,0.1%
IN,"30,221","90,032,800",45.5%,0.1%,38.7%,2.5%,0.0%,0.5%,0.3%,9.8%,2.0%,0.0%,0.5%
KS,"20,570","58,462,936",27.9%,0.1%,7.5%,0.0%,17.6%,0.0%,0.1%,46.6%,0.1%,0.0%,0.0%
KY,"21,645","62,419,762",68.6%,0.1%,23.9%,0.1%,0.0%,6.3%,0.7%,0.0%,0.2%,0.0%,0.0%
LA,"28,658","94,054,826",5.1%,1.1%,75.1%,1.9%,13.0%,0.8%,2.1%,0.0%,0.3%,0.0%,0.6%
MA,"14,490","20,049,788",0.0%,0.5%,73.7%,4.7%,0.0%,5.8%,4.6%,0.9%,9.9%,0.0%,0.0%
MD,"13,153","35,991,992",4.7%,0.2%,42.6%,0.9%,41.6%,5.1%,0.9%,1.3%,2.6%,0.0%,0.0%
ME,"5,569","12,516,397",0.3%,0.5%,31.8%,1.4%,0.0%,30.6%,11.6%,18.7%,4.2%,0.0%,0.8%
MI,"33,247","121,461,317",19.4%,1.1%,44.5%,1.2%,23.0%,1.1%,1.7%,6.8%,1.0%,0.0%,0.0%
MN,"20,346","57,272,439",22.3%,0.1%,24.1%,0.4%,20.8%,1.3%,2.0%,25.2%,3.6%,0.0%,0.1%
