eGRID subregion acronym,eGRID subregion name,Total output emission rates,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Non-baseload output emission rates,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Grid Gross Loss (%)
,,lb/MWh,,,,,,,lb/MWh,,,,,,,
eGRID subregion acronym,eGRID subregion name,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Grid Gross Loss (%)
AKGD,ASCC Alaska Grid,899.0,0.086,0.012,904.5,5.6,6.2,0.310,"1,077.1",0.116,0.016,"1,084.5",6.3,7.0,0.463,4.1%
AKMS,ASCC Miscellaneous,519.4,0.026,0.004,521.4,8.1,7.9,0.707,"1,548.6",0.067,0.012,"1,553.6",24.4,23.6,2.110,4.1%
AZNM,WECC Southwest,740.8,0.041,0.006,743.4,0.4,0.4,0.108,"1,260.4",0.067,0.009,"1,264.7",0.7,0.6,0.184,4.1%
CAMX,WECC California,436.7,0.025,0.003,438.2,0.3,0.3,0.020,"1,034.0",0.051,0.007,"1,037.1",0.7,0.6,0.045,4.1%
ERCT,ERCOT All,738.0,0.043,0.006,740.8,0.4,0.5,0.321,"1,264.9",0.076,0.010,"1,269.8",0.9,0.9,0.667,4.2%
FRCC,FRCC All,801.9,0.042,0.005,804.5,0.2,0.2,0.131,"1,034.0",0.045,0.006,"1,036.8",0.3,0.3,0.159,4.2%
HIMS,HICC Miscellaneous,"1,122.1",0.146,0.022,"1,132.0",7.6,7.2,4.484,"1,596.4",0.170,0.027,"1,608.2",11.7,11.6,6.169,4.4%
HIOA,HICC Oahu,"1,489.4",0.134,0.021,"1,498.8",3.9,3.7,4.279,"1,753.4",0.159,0.025,"1,764.6",4.5,4.3,5.041,4.4%
MROE,MRO East,"1,402.0",0.116,0.017,"1,409.7",1.0,1.0,0.278,"1,713.8",0.161,0.023,"1,724.4",1.1,1.2,0.367,4.2%
MROW,MRO West,920.0,0.097,0.014,926.4,0.7,0.8,0.896,"1,776.6",0.180,0.026,"1,788.5",1.4,1.4,1.575,4.2%
NEWE,NPCC New England,537.2,0.063,0.008,541.1,0.3,0.3,0.115,885.2,0.067,0.009,889.3,0.4,0.3,0.137,4.2%
NWPP,WECC Northwest,631.7,0.054,0.008,635.2,0.6,0.5,0.268,"1,613.4",0.146,0.021,"1,623.0",1.6,1.6,0.752,4.1%
NYCW,NPCC NYC/Westchester,974.7,0.025,0.003,976.1,0.3,0.3,0.027,"1,008.9",0.020,0.002,"1,010.0",0.4,0.4,0.011,4.2%
NYLI,NPCC Long Island,"1,180.7",0.140,0.018,"1,189.3",0.8,0.8,0.331,"1,316.6",0.050,0.006,"1,319.6",0.8,0.7,0.126,4.2%
NYUP,NPCC Upstate NY,241.0,0.011,0.001,241.7,0.1,0.1,0.027,909.1,0.041,0.005,911.6,0.4,0.4,0.103,4.2%
PRMS,Puerto Rico Miscellaneous,"1,543.0",0.077,0.012,"1,548.4",3.9,4.1,3.695,"1,636.7",0.072,0.012,"1,642.0",4.4,4.7,4.735,
RFCE,RFC East,594.7,0.036,0.005,597.0,0.2,0.2,0.211,"1,175.5",0.077,0.010,"1,180.4",0.6,0.6,0.618,4.2%
RFCM,RFC Michigan,962.1,0.082,0.011,967.4,0.5,0.5,0.559,"1,508.1",0.144,0.020,"1,517.6",0.9,0.8,1.020,4.2%
RFCW,RFC West,911.3,0.071,0.010,916.0,0.4,0.4,0.412,"1,757.3",0.161,0.023,"1,767.9",1.0,0.8,0.877,4.2%
RMPA,WECC Rockies,"1,036.0",0.090,0.013,"1,042.0",0.5,0.5,0.329,"1,620.6",0.124,0.018,"1,628.8",0.9,0.9,0.469,4.1%
SPNO,SPP North,861.9,0.087,0.012,867.7,0.5,0.6,0.137,"1,892.1",0.188,0.027,"1,904.5",1.1,1.0,0.296,4.2%
SPSO,SPP South,891.1,0.055,0.008,894.7,0.7,0.8,0.673,"1,508.4",0.095,0.013,"1,514.6",1.4,1.3,1.208,4.2%
SRMV,SERC Mississippi Valley,739.4,0.032,0.004,741.4,0.5,0.5,0.350,"1,145.5",0.061,0.008,"1,149.4",0.9,1.0,0.857,4.2%
SRMW,SERC Midwest,"1,238.3",0.132,0.019,"1,247.0",0.8,0.6,1.634,"1,818.6",0.190,0.027,"1,831.1",1.7,1.1,2.157,4.2%
SRSO,SERC South,840.9,0.055,0.008,844.6,0.3,0.3,0.162,"1,386.0",0.096,0.014,"1,392.3",0.7,0.6,0.298,4.2%
SRTV,SERC Tennessee Valley,895.7,0.079,0.011,900.9,0.4,0.4,0.426,"1,665.8",0.154,0.022,"1,675.9",0.7,0.6,0.828,4.2%
SRVC,SERC Virginia/Carolina,590.2,0.045,0.006,593.1,0.3,0.3,0.151,"1,286.8",0.100,0.014,"1,293.3",0.7,0.7,0.376,4.2%
U.S.,,771.5,0.057,0.008,775.2,0.5,0.5,0.361,"1,393.7",0.104,0.015,"1,400.5",0.9,0.9,0.694,4.2%
,,,,,,,,,,,,,,,,
